CVX;NUVA;Label
CVX-197;VAC1146;Inactivated quadrivalent influenza vaccine, high dose, unspecified
CVX-79;VAC1069;Vaccinia immune globulin
CVX-198;VAC0599;DTPerHibHepB pentavalent vaccine, unspecified
CVX-64;VAC0898;Leishmaniasis vaccine, unspecified
CVX-115;VAC0610;Tdap - Diphtheria-Tetanus-Pertussis vaccine, low dose, unspecified
CVX-58;VAC1063;Hepatitis C vaccine, unspecified
CVX-123;VAC0084;H5N1 pre-pandemic influenza vaccine, unspecified
CVX-301;VAC1117;COVID-19 bivalent mRNA vaccine against the original virus and the Omicron BA.4/5 variant, 5 micrograms, unspecified
CVX-36;VAC0864;Varicella-Zoster immunoglobulin, unspecified
CVX-196;VAC0920;Diphtheria-tetanus Td vaccine, unspecified
CVX-135;VAC1171;Inactivated trivalent influenza vaccine, high dose, unspecified
CVX-148;VAC1220;Meningococcal CY and anti-Haemophilus influenzae type b vaccine, conjugated with tetanus toxoid, unspecified
CVX-500;VAC0648;COVID-19 vaccine, unspecified
CVX-229;VAC1140;COVID-19 bivalent mRNA vaccine against the original virus and the Omicron BA.4/5 variant, 25 micrograms, unspecified
CVX-45;VAC0101;Hepatitis B vaccine, recombinant, unspecified
CVX-105;VAC0133;Smallpox vaccine, unspecified
CVX-25;VAC0424;Live attenuated oral typhoid vaccine, unspecified
CVX-333;VAC1123;Live attenuated trivalent influenza vaccine, unspecified
CVX-173;VAC0944;Inactivated whole virion oral cholera vaccine, unspecified
CVX-505;VAC0670;SPOUTNIK V
CVX-519;VAC1032;SPIKEVAX BIVALENT ORIGINAL/OMICRON BA.1 (25 µg/25 µg) MODERNA
CVX-328;VAC1476;Meningococcal vaccine against A, C, W, Y (conjugated polysaccharide) and B
CVX-192;VAC0151;Meningococcal A + C vaccine, unspecified
CVX-72;VAC1067;Streptococcus pyogenes vaccine, unspecified
CVX-24;VAC1279;Adjuvanted adsorbed anthrax vaccine
CVX-515;VAC0679;MEDIGEN-S-2P-CpH1018-COVID
CVX-84;VAC0912;Hepatitis A vaccine, pediatric dose, unspecified
CVX-504;VAC0940;SPUTNIK-LIGHT
CVX-15;VAC0821;Inactivated influenza vaccine, split or subunit, unspecified
CVX-49;VAC0344;PRP-OMP Hib vaccine, unspecified
CVX-136;VAC0141;MENVEO
CVX-305;VAC1224;Respiratory syncytial virus (RSV) vaccine, recombinant, F-glycoprotein (prefusion) RSV subtypes A and B, unspecified
CVX-57;VAC0897;Hantavirus vaccine, unspecified
CVX-113;VAC0920;Diphtheria-tetanus Td vaccine, unspecified
CVX-140;VAC1175;Inactivated trivalent influenza vaccine cell culture, normal dose, unspecified
CVX-507;VAC0659;ZIFIVAX ANHUI COVID-19 VACCINE
CVX-317;VAC1198;Chinkungunya vaccine, live attenuated, unspecified
CVX-175;VAC0943;Rabies vaccine diploid cells, unspecified
CVX-23;VAC0812;Inactivated whole plague vaccine, unspecified
CVX-223;VAC1037;Tick-borne encephalitis vaccine, Neudörfl strain, paediatric dose, unspecified
CVX-182;VAC0802;Monovalent oral polio vaccine - type unknown, unspecified
CVX-40;VAC0131;Rabies vaccine, unspecified
CVX-02;VAC0320;OPV 1-2-3, unspecified
CVX-48;VAC0345;Hib PRP-T conjugated vaccine, unspecified
CVX-172;VAC1213;Cholera vaccine containing recombinant cholera toxin B subunit and inactivated whole V. cholerae O1 bacteria, unspecified
CVX-181;VAC0941;Immunoglobulin against anthrax, unspecified
CVX-85;VAC0102;Inactivated hepatitis A vaccine, unspecified
CVX-215;VAC1239;15-valent Pneumococcus conjugate vaccine, unspecified
CVX-220;VAC1145;Recombinant hepatitis B vaccine, three antigens, unspecified
